P;Format;expected_answer;given_answer;is_correct;time_in_milliseconds
5;CamelCase;1;2;false;13324
5;Snake_case;2;2;true;23109
5;CamelCase;2;2;true;16886
5;Snake_case;1;2;false;29740
5;Snake_case;2;2;true;22699
6;CamelCase;2;2;true;23116
6;CamelCase;1;2;false;28745
6;Snake_case;2;2;true;28451
6;CamelCase;2;1;false;16728
6;Snake_case;1;2;false;15393
6;CamelCase;2;2;true;29671
6;CamelCase;2;2;true;30499
6;Snake_case;2;2;true;14597
6;Snake_case;1;1;true;12304
6;CamelCase;1;2;false;20596
6;Snake_case;2;2;true;29628
6;CamelCase;1;2;false;16619
6;Snake_case;1;1;true;15863
6;CamelCase;2;2;true;22417
6;Snake_case;1;2;false;22398
6;CamelCase;1;2;false;21695
6;Snake_case;2;2;true;17137
6;CamelCase;1;1;true;19327
6;Snake_case;1;1;true;5897
6;Snake_case;1;2;false;13481
7;CamelCase;1;1;true;47214
7;CamelCase;2;2;true;53612
7;Snake_case;2;2;true;71059
7;CamelCase;2;2;true;52648
7;Snake_case;1;1;true;30873
7;CamelCase;1;1;true;12789
7;CamelCase;2;2;true;94569
7;Snake_case;2;2;true;55168
7;Snake_case;1;1;true;38162
7;CamelCase;2;2;true;26653
7;Snake_case;1;2;false;55029
7;CamelCase;1;2;false;45229
7;Snake_case;2;2;true;45277
7;CamelCase;1;1;true;9436
7;Snake_case;2;2;true;66636
7;CamelCase;1;1;true;32765
7;Snake_case;2;2;true;26019
7;CamelCase;2;1;false;27119
7;Snake_case;1;1;true;21841
7;Snake_case;2;2;true;30058
8;CamelCase;1;2;false;15922
8;CamelCase;2;2;true;25743
8;Snake_case;2;1;false;11050
8;CamelCase;2;2;true;31490
8;Snake_case;2;2;true;9996
8;CamelCase;2;2;true;8531
8;CamelCase;2;2;true;2078
8;Snake_case;2;2;true;17450
8;Snake_case;1;1;true;3483
8;CamelCase;1;1;true;13003
8;Snake_case;1;2;false;11711
8;CamelCase;1;2;false;20547
8;Snake_case;1;1;true;11684
8;CamelCase;2;2;true;19788
8;Snake_case;2;2;true;26044
8;CamelCase;2;2;true;12435
8;Snake_case;2;2;true;18139
8;CamelCase;1;2;false;19004
8;Snake_case;2;2;true;24931
8;Snake_case;2;2;true;12382
9;CamelCase;2;2;true;17040
9;CamelCase;2;2;true;19058
9;Snake_case;1;1;true;15229
9;CamelCase;2;2;true;46478
9;Snake_case;2;2;true;54252
9;CamelCase;2;2;true;12511
9;CamelCase;2;2;true;16114
9;Snake_case;1;1;true;23883
9;Snake_case;1;2;false;32118
9;CamelCase;2;1;false;9063
9;Snake_case;2;2;true;14635
9;CamelCase;2;2;true;11160
9;Snake_case;1;2;false;36311
9;CamelCase;1;2;false;25219
9;Snake_case;1;1;true;1569
9;CamelCase;1;2;false;427
9;Snake_case;2;1;false;273
9;CamelCase;2;2;true;220
9;Snake_case;2;1;false;759
9;Snake_case;2;2;true;414
10;CamelCase;2;2;true;14190;
10;CamelCase;1;2;false;8198;
10;Snake_case;2;2;true;18643;
10;CamelCase;2;2;true;34284;
10;Snake_case;1;1;true;10057;
10;CamelCase;2;2;true;8865;
10;CamelCase;2;2;true;24347;
10;Snake_case;1;2;false;21533;
10;Snake_case;1;1;true;18124;
10;CamelCase;1;2;false;22859;
10;Snake_case;1;2;false;45738;
10;CamelCase;1;2;false;9247;
10;Snake_case;2;2;true;28832;
10;CamelCase;2;2;true;47684;
10;Snake_case;1;1;true;16042;
10;CamelCase;1;1;true;26113;
10;Snake_case;1;2;false;25876;
10;CamelCase;2;2;true;32155;
10;Snake_case;2;2;true;29189;
10;Snake_case;1;1;true;29679;
